layer,EM,F1,Delta_EM,Delta_F1,Score
8,0.32,0.4781740005588089,0.09,0.10509277415108875,0.19509277415108875
10,0.31,0.4696684192776462,0.07999999999999999,0.09658719286992606,0.17658719286992605
7,0.31,0.4602615036083489,0.07999999999999999,0.08718027720062876,0.16718027720062875
12,0.31,0.4439432151753775,0.07999999999999999,0.07086198876765737,0.15086198876765736
13,0.29,0.4425235920339409,0.05999999999999997,0.0694423656262208,0.12944236562622077
9,0.28,0.41055939699673033,0.05000000000000002,0.03747817058901021,0.08747817058901022
11,0.27,0.40209487135818023,0.04000000000000001,0.029013644950460105,0.06901364495046011
17,0.26,0.40881633475694273,0.03,0.03573510834922261,0.06573510834922261
5,0.26,0.40580633374038017,0.03,0.03272510733266004,0.06272510733266004
6,0.25,0.4008207785833824,0.01999999999999999,0.027739552175662263,0.04773955217566225
22,0.25,0.3949188474307796,0.01999999999999999,0.021837621023059473,0.04183762102305946
24,0.24,0.3924937679724356,0.009999999999999981,0.019412541564715502,0.029412541564715483
30,0.24,0.38995756326689457,0.009999999999999981,0.016876336859174446,0.026876336859174427
26,0.24,0.38390453467839686,0.009999999999999981,0.010823308270676735,0.020823308270676716
21,0.24,0.38348872450331895,0.009999999999999981,0.010407498095598822,0.020407498095598803
4,0.24,0.3828675970037025,0.009999999999999981,0.009786370595982363,0.019786370595982344
29,0.24,0.37872492805313807,0.009999999999999981,0.005643701645417942,0.015643701645417923
3,0.24,0.3779775866572411,0.009999999999999981,0.0048963602495210035,0.014896360249520985
25,0.23,0.3705048819282532,0.0,-0.002576344479466919,-0.002576344479466919
23,0.22,0.3743819565002123,-0.010000000000000009,0.0013007300924921528,-0.008699269907507856
16,0.22,0.37230156112138846,-0.010000000000000009,-0.0007796652863316655,-0.010779665286331674
0,0.23,0.36050025100038185,0.0,-0.012580975407338268,-0.012580975407338268
19,0.22,0.36532532383076494,-0.010000000000000009,-0.007755902576955187,-0.017755902576955196
20,0.22,0.3652119453619685,-0.010000000000000009,-0.00786928104575163,-0.01786928104575164
18,0.21,0.3734862238425982,-0.020000000000000018,0.00040499743487809603,-0.01959500256512192
1,0.21,0.35435930163122464,-0.020000000000000018,-0.01872192477649548,-0.0387219247764955
2,0.21,0.3524138093406117,-0.020000000000000018,-0.02066741706710845,-0.04066741706710847
27,0.2,0.3595789913408658,-0.03,-0.013502235066854329,-0.04350223506685433
28,0.2,0.355649069096928,-0.03,-0.017432157310792118,-0.04743215731079212
31,0.17,0.3180136704622111,-0.06,-0.05506755594550905,-0.11506755594550905
15,0.13,0.2803543134341334,-0.1,-0.0927269129735867,-0.1927269129735867
14,0.05,0.2259020110259712,-0.18,-0.1471792153817489,-0.3271792153817489
